City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Bambous Virieux,MU,-20.3428,57.7575,68.22,88,20,6.91,few clouds
131,Da Nang,VN,16.0678,108.2208,86.05,89,40,2.3,scattered clouds
132,Oranjemund,NA,-28.55,16.4333,55.99,64,0,16.69,clear sky
133,Barguzin,RU,53.6167,109.6167,60.94,66,36,4.09,scattered clouds
134,Dikson,RU,73.5069,80.5464,43.95,100,100,1.63,overcast clouds
135,Portland,US,45.5234,-122.6762,94.21,53,75,3.44,smoke
136,Reconquista,AR,-29.15,-59.65,66.99,31,2,6.8,clear sky
137,Rawson,AR,-43.3002,-65.1023,65.84,20,0,9.71,clear sky
138,Alyangula,AU,-13.8483,136.4192,73.27,83,26,4.61,scattered clouds
139,Tawang,IN,27.5833,91.8667,56.43,93,100,0.58,overcast clouds
140,San Rafael Del Sur,NI,11.8485,-86.4384,90.57,47,100,2.26,overcast clouds
141,Taoudenni,ML,22.6783,-3.9836,106.68,11,7,12.39,clear sky
142,Sovetskiy,RU,61.3614,63.5842,59.99,70,96,5.7,overcast clouds
143,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,73,15,9.22,few clouds
144,Mocuba,MZ,-16.8392,36.9856,69.48,83,0,6.87,clear sky
145,Portree,GB,57.4129,-6.1942,56.86,88,100,19.01,overcast clouds
146,Atar,MR,20.5169,-13.0499,108.19,8,46,18.63,scattered clouds
147,Tairua,NZ,-37.0167,175.85,52.09,84,3,9.22,clear sky
148,Cockburn Town,TC,21.4612,-71.1419,83.12,76,100,18.61,overcast clouds
149,Castro,BR,-24.7911,-50.0119,50.58,98,100,4.92,overcast clouds
150,Hervey Bay,AU,-25.2986,152.8535,60.04,78,0,5.37,clear sky
151,Saint-Augustin,CA,51.226,-58.6502,67.06,94,100,7.11,overcast clouds
152,Kaitangata,NZ,-46.2817,169.8464,42.66,93,100,16.22,light rain
153,Arlit,NE,18.7369,7.3853,97.29,27,5,10.8,clear sky
154,Tura,IN,25.5198,90.2201,74.66,99,100,5.26,overcast clouds
155,Virginia Beach,US,36.8529,-75.978,98.02,57,40,13.8,scattered clouds
156,Lamar,US,33.6668,-95.5836,95.52,51,20,5.75,few clouds
157,Natal,BR,-5.795,-35.2094,81.25,69,75,17.27,broken clouds
158,Adrar,MR,20.5022,-10.0711,102.04,11,13,9.8,few clouds
159,Nogales,MX,31.3086,-110.9422,83.71,61,1,3.44,clear sky
160,Nouadhibou,MR,20.931,-17.0347,75.18,73,0,20.71,sand
161,Kargasok,RU,59.0556,80.8572,50.9,71,99,7.34,overcast clouds
162,Avera,US,33.194,-82.5271,95.68,34,43,1.07,scattered clouds
163,Plettenberg Bay,ZA,-34.0527,23.3716,51.48,80,8,8.05,clear sky
164,Longyearbyen,SJ,78.2186,15.6401,44.44,65,75,11.5,broken clouds
165,Rocky Mountain House,CA,52.3668,-114.9188,82.15,36,0,2.3,clear sky
166,Saskylakh,RU,71.9167,114.0833,48.34,73,100,7.25,overcast clouds
167,Kahului,US,20.8947,-156.47,78.82,85,40,9.22,scattered clouds
168,Bengkulu,ID,-3.8004,102.2655,75.24,90,25,4.34,scattered clouds
169,Hami,CN,42.8,93.45,85.46,22,65,8.03,broken clouds
170,Lorengau,PG,-2.0226,147.2712,81.46,76,25,9.4,scattered clouds
171,Kuching,MY,1.55,110.3333,75.42,100,40,0,scattered clouds
172,Khatanga,RU,71.9667,102.5,50.54,80,100,8.68,overcast clouds
173,Logrono,ES,42.4667,-2.45,92.7,27,0,4.61,clear sky
174,Upernavik,GL,72.7868,-56.1549,43.45,93,100,9.64,moderate rain
175,Poronaysk,RU,49.2167,143.1167,53.04,92,100,3.15,overcast clouds
176,Chapais,CA,49.7834,-74.8492,74.98,38,43,11.99,scattered clouds
177,Namibe,AO,-15.1961,12.1522,62.55,87,32,5.44,scattered clouds
178,Panuco,MX,22.05,-98.1667,87.04,42,17,7.47,few clouds
