City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
168,Bengkulu,ID,75.24,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
169,Hami,CN,85.46,broken clouds,42.8,93.45,Laoyutang Resort
170,Lorengau,PG,81.46,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
171,Kuching,MY,75.42,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
176,Chapais,CA,74.98,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
178,Panuco,MX,87.04,few clouds,22.05,-98.1667,Hotel Plaza
186,Muroto,JP,79.83,light rain,33.2833,134.15,Oota Ryokan
188,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
189,Darnah,LY,79.83,clear sky,32.767,22.6367,فندق الفردوس
190,Kailua,US,82.38,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
194,Kazanskaya,RU,70.3,overcast clouds,45.4106,40.4361,Tikhiy Dvorik
198,Shibata,JP,71.08,overcast clouds,37.95,139.3333,Shibata Daiichi Hotel
200,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
203,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
206,Oussouye,SN,87.98,overcast clouds,12.485,-16.5469,Auberge du Routard
211,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
213,Takoradi,GH,76.78,overcast clouds,4.8845,-1.7554,Raybow International Hotel
218,Paka,MY,78.73,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
221,Sinnamary,GF,81.86,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
224,Alexandria,EG,81.14,scattered clouds,31.2156,29.9553,Royal Crown Hotel
226,Amahai,ID,76.6,few clouds,-3.3333,128.9167,HOTEL ISABELA
227,Hasaki,JP,77.4,heavy intensity rain,35.7333,140.8333,Hotel Sunrise Choshi
231,Nautla,MX,87.85,few clouds,20.2167,-96.7833,Casa Blanca
233,Banda Aceh,ID,77.5,overcast clouds,5.5577,95.3222,Sulthan Hotel International
235,Sao Jose Da Coroa Grande,BR,76.66,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
237,Nishihara,JP,80.65,broken clouds,26.1842,127.7558,Minshuku Agaihama
238,Nagaur,IN,86.9,overcast clouds,27.2,73.7333,Ranvas Nagaur
240,Katsuura,JP,78.91,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
246,Sola,VU,77.67,broken clouds,-13.8833,167.55,Leumerus Bungalows
248,Tindwari,IN,86.0,overcast clouds,25.6167,80.5333,Vikash tea stall *S.S.P*
250,Dao,PH,76.55,overcast clouds,11.3937,122.6856,Mr. Rolando Tolores Jr.
254,West Wendover,US,88.81,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
255,Ixtapa,MX,87.22,few clouds,20.7,-105.2,Hotel Plaza Providencia
256,Tateyama,JP,78.82,light rain,34.9833,139.8667,Tateyama Seaside Hotel
257,Prado,BR,74.48,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
258,Keshod,IN,80.15,overcast clouds,21.3,70.25,Hotel New Rajdhani
259,Luau,AO,73.85,clear sky,-10.7073,22.2247,Casa- Bernardo Cândido
261,Surt,LY,82.29,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
262,Bom Jardim,BR,82.74,overcast clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
263,Linhares,BR,77.77,overcast clouds,-19.3911,-40.0722,Hotel Conceição
264,Manicore,BR,85.95,clear sky,-5.8092,-61.3003,Hotel Durval
265,Porto Tolle,IT,87.82,broken clouds,44.9497,12.3245,Klaus sas di Boscolo Claudio & c.
270,Ha Tinh,VN,80.31,overcast clouds,18.3333,105.9,Phú Quý
271,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
272,Bosaso,SO,89.6,clear sky,11.2842,49.1816,Red Sea Hotel
274,La Asuncion,VE,74.93,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
276,Ponta Do Sol,PT,76.71,clear sky,32.6667,-17.1,Hotel do Campo
277,Slave Lake,CA,75.18,clear sky,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
285,Voyvozh,RU,70.09,broken clouds,62.892,54.9635,Gostinitsa Yakor'
287,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
288,Shimoda,JP,78.91,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
289,Cayenne,GF,78.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
293,Baturaja,ID,72.99,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
296,Faya,SA,71.71,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
297,Auki,SB,75.83,overcast clouds,-8.7676,160.7034,Auki Motel
299,Qui Nhon,VN,80.31,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
302,Padang,ID,77.49,overcast clouds,-0.9492,100.3543,Mercure Padang
309,Axim,GH,76.42,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
314,Pangkalanbuun,ID,74.16,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
315,Luanda,AO,71.13,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
318,Omboue,GA,75.97,broken clouds,-1.5746,9.2618,Hotel Olako
322,Vila,PT,72.48,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
327,Batticaloa,LK,81.84,overcast clouds,7.7102,81.6924,Grand Star Guest House
333,Kamyshevatskaya,RU,70.0,heavy intensity rain,46.4132,37.9563,Gostevoy Dom Lotos-Lend
334,Magaria,NE,82.38,broken clouds,12.9983,8.9099,Chez Honorable Chapiou
337,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
338,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
340,Eyl,SO,76.6,broken clouds,7.9803,49.8164,Amiin Hotel
347,Harper,LR,76.35,overcast clouds,4.375,-7.7169,Screensaver
350,Belgrade,RS,83.39,clear sky,44.804,20.4651,Saruna Wellness - Hotel Park Belgrade
